,text,label,preprocessed_text
1993,"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",positive,movie movie situation begin game be play act coach be fascinate
224,"I know this is not like the other restaurants at all, something is very off here!",negative,know be not like restaurant all something be very here
51,The sound is clear and the people I talk to on it are amazed at the quality too.,positive,sound be clear people talk be amaze quality too
1114,Filmiing was less expansive.  ,negative,filmiing be less expansive
2096,The movie has almost no action scenes in it and very little comedy.  ,negative,movie have almost no action scenes very little comedy
214,My fella got the huevos rancheros and they didn't look too appealing.,negative,fella get huevos rancheros do not look too appeal
294,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",positive,great subway fact be good come every subway not meet expectation
1343,Warning - Stay away.,negative,warn stay away
1747,The only thing I did like was the prime rib and dessert section.,positive,thing do like be prime rib dessert section
2494,It doesn't work in Europe or Asia.,negative,do not work europe asia
95,Having trouble with volume.,negative,have trouble volume
1349,Problem is that the ear loops are made of weak material and break easily.,negative,problem be ear loop be make of weak material break easily
582,I am sorry I made this purchase.,negative,be sorry make purchase
370,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",negative,disbelief dish qualify bad version of food have ever taste
2583,A lady at the table next to us found a live green caterpillar In her salad.,negative,lady table next u find live green caterpillar salad
2061,In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  ,negative,short be monumental waste of time energy would not recommend anyone ever see film
2280,5 stars for the brick oven bread app!,positive,five star brick oven bread app
251,It clicks into place in a way that makes you wonder how long that mechanism would last.,negative,click place way make wonder long mechanism would last
1827,The earpiece on this is too large or too heavy...it keeps falling out of my ear.,negative,earpiece be too large too heavy it keep fall out of ear
908,It's a campy sort of film that's a joy to watch.  ,positive,be campy sort of film be joy watch
1949,Also makes it easier to hold on to.,positive,also make easy hold to
596,"No additional ear gels provided, and no instructions whatsoever.",negative,no additional ear gel provide no instruction whatsoever
1915,The turkey and roast beef were bland.,negative,turkey roast beef be bland
1812,I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.  ,negative,be not filmmaker be director would hide head sand would spend whatever amount of money time movie
235,Arrived quickly and much less expensive than others being sold.,positive,arrive quickly much less expensive others be sell
2086,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,positive,get aluminum case new palm vx work really well it have protect handheld perfectly far
2023,"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  ",positive,angus scrimm also turn good performance somewhat brief memorable role gently menace violin play anatomist doctor quinn
1032,Never heard of any of them except Cole who was totally unbelievable in the part.  ,negative,never heard of any of except cole be totally unbelievable part
1110,Editing: The editing of this film was phenomenal in my opinion.  ,positive,edit editing of film be phenomenal opinion
1974,you can watch them preparing the delicious food!),positive,can watch prepare delicious food
402,"I loved it, it was really scary.  ",positive,love it be really scary
2030,"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  ",positive,forgot cast superb trond fausa aurvag be perfect role bothersome man do not understand be be do why
1562,"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",positive,be look movie terrific cast good music include shirley jones rendition of the way look tonight uplift end give one try
76,It was packed!!,negative,be pack
1297,One of the few places in Phoenix that I would definately go back to again .,positive,one of few place phoenix would definately go back
2709,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",negative,product be useless since do not have enough charge current charge two cellphone be plan use with
2066,Their steaks are 100% recommended!,positive,steak be one hundred recommend
2358,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,negative,go give one star rating please know be third time eat bachi burger write review
840,Good Quality.,positive,good quality
2376,I was deeply impressed with the character he played.  ,positive,be deeply impressed character play
1814,No real improvement.,negative,no real improvement
159,Overall I was not impressed and would not go back.,negative,overall be not impress would not go back
472,"Third, the cheese on my friend's burger was cold.",negative,third cheese friend s burger be cold
1862,"Provides good protection and looks classy, too.",positive,provide good protection look classy too
1863,"All in all, Ha Long Bay was a bit of a flop.",negative,all ha long bay be bit of flop
1875,When my mom and I got home she immediately got sick and she only had a few bites of salad.,negative,mom get home immediately get sick have few bite of salad
258,I love this phone!.,positive,love phone
1305,Portable and it works.,positive,portable work
156,It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,positive,actually turn out be pretty decent far b list horror suspense film go
1500,"Best of all is the rotating feature, very helpful.",positive,best of be rotate feature very helpful
215,The visual effects were AWFUL.  ,negative,visual effect be awful
1766,We have gotten a lot of compliments on it.,positive,have get lot of compliment it
2397,The cutouts and buttons are placed perfectly.,positive,cutout button be place perfectly
1671,Krussel Always good.,positive,krussel always good
1698,I would highly recommend this product.,positive,would highly recommend product
1194,"I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.  ",positive,not say any do not like spoiler do not want be one believe film be worth time
1159,the staff is friendly and the joint is always clean.,positive,staff be friendly joint be always clean
2650,The headsets are easy to use and everyone loves them.,positive,headset be easy use everyone love them
2305,"The film's dialogue is natural, real to life.  ",positive,film s dialogue be natural real life
846,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,negative,be not really sure joey s be vote best hot dog valley reader of phoenix magazine
1918,Same problem as others have mentioned.,negative,problem others have mention
223,Poor Talk Time Performance.,negative,poor talk time performance
1098,Battery life is real good.,positive,battery life be real good
1286,It is not good.  ,negative,be not good
2122,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,negative,receive supposedly new motorola three hundred seventy five apparently be not match phone charger
2405,"A couple of months later, I returned and had an amazing meal.",positive,couple of month later return have amazing meal
721,I have tried these cables with my computer and my iPod and it works just fine.,positive,have try cable computer ipod work fine
1342,"Audio Quality is poor, very poor.",negative,audio quality be poor very poor
2518,"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",positive,film deserve strong kudos take stand have exceptional act mostly less know cast super intelligent script do not insult audience take easy way out come white racism
820,The original Body and Soul (1947) is a masterpiece.  ,positive,original body soul one thousand nine hundred forty seven be masterpiece
2329,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,negative,never ever go back have tell many people have happen
2451,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,negative,cashier have no care ever have say still end be wayyy overprice
1233,"Gotta love those close-ups of slimy, drooling teeth!  ",positive,get love close ups of slimy drool teeth
1967,Do not make the same mistake as me.,negative,do not make mistake me
1703,Excellent product for the price.,positive,excellent product price
1082,The rest of the cast also play well.  ,positive,rest of cast also play well
765,2 times - Very Bad Customer Service !,negative,two time very bad customer service
904,"Couldn't use the unit with sunglasses, not good in Texas!",negative,could not use unit sunglass not good texas
2536,"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",negative,be bad film bad write good actor an ugly cartoon craft paul haggis people cannot handle anything bold stroke storytelling a picture paint crayon
857,The movie is terribly boring in places.  ,negative,movie be terribly boring place
2475,Service was very prompt.,positive,service be very prompt
2685,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,negative,get food apparently have never hear of salt batter fish be chewy
2221,Very good phone.,positive,very good phone
395,Everything was perfect the night we were in.,positive,everything be perfect night be in
367,The phone crashed completely and now I have to get it replaced.,negative,phone crash completely have get replace
166,Easy to use.,positive,easy use
417,"Not a weekly haunt, but definitely a place to come back to every once in a while.",positive,not weekly haunt definitely place come back every while
465,The guy who said he's had better dialogue with his potted plants has it right.  ,negative,guy say be have well dialogue potted plant have right
1416,Everything about this product is wrong.First,negative,everything product be wrong first
1177,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",positive,consider two of u leave very full happy twenty cannot go wrong
1947,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",negative,uncomfortable ear do not use lg vx9900 env
1943,"Just whatever you do, avoid ""Groove"" as its the antithesis of all that is good about Human Traffic.  ",negative,whatever do avoid groove antithesis of be good human traffic
878,This place is disgusting!,negative,place be disgust
2360,"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",negative,get absolutely horrible reception apartment phone have not have problem
147,Painful on the ear.,negative,painful ear
2296,Its reception is very very poor.,negative,reception be very very poor
2659,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",positive,summarize food be incredible nay transcendant nothing bring joy quite like memory of pneumatic condiment dispenser
2072,Generally; it just lacked imagination.  ,negative,generally lack imagination
663,Battery life still not long enough in Motorola Razor V3i.,negative,battery life still not long enough motorola razor v3i
987,So we went to Tigerlilly and had a fantastic afternoon!,positive,go tigerlilly have fantastic afternoon
1779,"The lines, the cuts, the audio, everything is wrong.  ",negative,line cut audio everything be wrong
1639,This is an unbelievable BARGAIN!,positive,be unbelievable bargain
1316,The poor batter to meat ratio made the chicken tenders very unsatisfying.,negative,poor batter meat ratio make chicken tender very unsatisfying
2187,Works like a charm.. Works as advertised.,positive,work like charm work advertise
1483,I would recommend it.,positive,would recommend it
2628,The instructions didn't explain that a microphone jack could be used.,negative,instruction do not explain microphone jack could be use
1054,I took back my money and got outta there.,negative,take back money get outta there
2682,"stay away from this store, be careful.",negative,stay away store be careful
1354,My salad had a bland vinegrette on the baby greens and hearts of Palm.,negative,salad have bland vinegrette baby green heart of palm
2523,"It's an empty, hollow shell of a movie.  ",negative,be empty hollow of movie
1942,"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",negative,one thing can tolerate political incorrectness very well be artistic freedom suspension of disbelief slavic female character be too much
2325,I highly recommend this device to everyone!,positive,highly recommend device everyone
523,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",negative,can call steakhouse cannot properly cook steak do not understand
286,Both do good jobs and are quite amusing.  ,positive,do good job be quite amuse
2118,This film has no redeeming features.  ,negative,film have no redeeming feature
1879,"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",positive,jimmy stewart be ever great hero hitchcock story rip along cool climax embassy function lack brood menace of hitchcock s black white low budget original
801,This frog phone charm is adorable and very eye catching.,positive,frog phone charm be adorable very eye catching
938,Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,positive,pro large seat area nice bar area great simple drink menu best brick oven pizza homemade dough
1793,Works as described.,positive,work describe
1169,"The servers went back and forth several times, not even so much as an ""Are you being helped?""",negative,server go back forth several time not even much be be help
34,His losing his marbles so early in the proceedings is totally implausible and unconvincing.  ,negative,lose marble early proceeding be totally implausible unconvincing
2726,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,negative,unfortunately ability actually know be receive call be rather important feature phone be pitiful respect
2522,Then a few days later the a puff of smoke came out of the phone while in use.,negative,few day later puff of smoke come out of phone use
1283,I am not impressed with this and i would not recommend this item to anyone.,negative,be not impress would not recommend item anyone
1207,The roast beef sandwich tasted really good!,positive,roast beef sandwich taste really good
831,Well... Just if you keep thinking how bad it is.  ,negative,well keep think bad be
609,My first visit to Hiro was a delight!,positive,first visit hiro be delight
2100,The menu had so much good stuff on it i could not decide!,positive,menu have much good stuff could not decide
1666,What a waste of time!,negative,waste of time
377,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",positive,hold charge long time be reasonably comfortable long wearing condition quality of sound be tremendous
572,"Good , works fine.",positive,good work fine
902,We sat another ten minutes and finally gave up and left.,negative,sat another ten minute finally give leave
2344,The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,negative,camera phone may be use dustpan indoors would rather be use disposable this
2060,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,negative,potato chip order be sad could probably count many chip be box be probably around twelve
1425,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",negative,poor service waiter make feel like be stupid every time come table
462,I am very impressed with this headset from Plantronics.,positive,be very impressed headset plantronics
401,this place is good.,positive,place be good
2635,I've missed numerous calls because of this reason.,negative,have miss numerous call of reason
1988,The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie.  ,positive,interplay martin emilio contain wonderful chemistry saw wall street martin charlie
877,Nice headphones for the price and they work great!,positive,nice headphone price work great
1543,Waitress was good though!,positive,waitress be good though
81,"I find wasting food to be despicable, but this just wasn't food.",negative,find wasting food be despicable be not food
554,All three broke within two months of use.,negative,three break within two month of use
539,Don't trust their website and don't expect any helpful support.,negative,do not trust website do not expect any helpful support
1274,Great Pocket PC / phone combination.,positive,great pocket pc phone combination
1658,"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  ",positive,achille philippa beautifully sing duet don giovanni perfectly describe situation movie appreciate subtle layer of excellent film
2630,"I only used it two days, and it wasn't always easy to hear with.",negative,use two day be not always easy hear with
416,This movie is great--especially if you enjoy visual arts.  ,positive,movie be great especially enjoy visual art
2593,Works fine.,positive,work fine
491,Spend your money elsewhere.,negative,spend money elsewhere
2705,"Anyway, I do not think i will go back there.",negative,anyway do not think go back there
667,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",positive,personally love hummus pita baklava falafel baba ganoush it be amazing do eggplant
2616,"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",negative,anyways food be definitely not fill all price pay expect more
2362,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",negative,bad of all humiliate worker right front of me bunch of horrible name calling
1449,"Friend's pasta -- also bad, he barely touched it.",negative,friend s pasta also bad barely touch it
413,None of the three sizes they sent with the headset would stay in my ears.,negative,none of three size send headset would stay ear
96,You never know if you pushed it hard enough or the right number of times for the function you want or not.,negative,never know push hard enough right number of time function want not
1402,"The new characters weren't all that memorable, and I found myself forgetting who was who.  ",negative,new character be not memorable find forgetting be who
353,At least think to refill my water before I struggle to wave you over for 10 minutes.,negative,least think refill water struggle wave ten minute
1273,"So for our enjoyment we get to see them run around, play games, and be dangerous.  ",positive,enjoyment get see run around play game be dangerous
2668,The food is good.,positive,food be good
495,"Both films are terrible, but to the credit of the 1986 version, it was watchable.  ",negative,film be terrible credit of one thousand nine hundred eighty six version be watchable
1195,Best headset ever!!!.,positive,best headset ever
2146,very slow at seating even with reservation.,negative,very slow seat even reservation
734,Hands down my favorite Italian restaurant!,positive,hand favorite italian restaurant
1361,"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",negative,have average acting main person be low budget clearly can see
1846,The warm beer didn't help.,negative,warm beer do not help
1312,"I have eaten here multiple times, and each time the food was delicious.",positive,have eat multiple time time food be delicious
1718,The service here is fair at best.,negative,service be fair best
1859,"It is cheap, and it feel and look just as cheap.",negative,be cheap feel look cheap
621,So I had to take the battery out of the phone put it all back together and then restart it.,negative,have take battery out of phone put back together restart it
1525,Also great directing and photography.  ,positive,also great direct photography
461,"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  ",positive,do not know be emilio estevez s directorial debut pace interplay development of character well clever camera work surround character estevez play suggest natural eye
2716,"Great steak, great sides, great wine, amazing desserts.",positive,great steak great side great wine amazing dessert
569,"As an earlier review noted, plug in this charger and nothing happens.",negative,earlier review note plug charger nothing happens
454,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",positive,mature subtle script suggest occasionally brings dramatic focus underlie tension be well served perfect performance apart odd inappropriate smile keira knightley be prone to though perhaps direction time character often mention it
2235,I was very excited to get this headset because I thought it was really cute.,positive,be very excited get headset thought be really cute
2604,-Drinks took close to 30 minutes to come out at one point.,negative,drink take close thirty minute come out one point
182,Not too screamy not to masculine but just right.  ,positive,not too screamy not masculine right
341,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,negative,try talk real loud shout telephone get old be still tell be not great
1829,Service stinks here!,negative,service stink here
1526,So anyone near you will hear part of your conversation.,negative,anyone near hear part of conversation
2686,Love it.. Great armband.,positive,love it great armband
886,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",negative,much would like go back cannot get pass atrocious service never return
1386,"Great price, too!",positive,great price too
585,"To be honest with you, this is unbelievable nonsense and very foolish.  ",negative,be honest you be unbelievable nonsense very foolish
2090,Exactly what I wanted.,positive,exactly want
1643,"Beware: this is not a trashy cult movie, this is trash -period!  ",negative,beware be not trashy cult movie be trash period
2082,"It's a gloriously fun, fast paced and fairly accurate portrayal of the night of a raver.  ",positive,be gloriously fun fast pace fairly accurate portrayal of night of raver
1084,"Obviously they have a terrible customer service, so you get what you pay for.",negative,obviously have terrible customer service get pay for
1375,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",negative,verizon s bill however be difficult understand even though pricing plan be simple
1657,"First of all, it doesn't wear well.",negative,first of all do not wear well
2311,Thanks again to Amazon for having the things I need for a good price!,positive,thanks amazon have thing need good price
1617,"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",positive,handsfree part work fine car try download address book treo reboots overall still rate device high
2302,Good audio quality.,positive,good audio quality
1663,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",negative,whole experience be underwhelming think go ninja sushi next time
2617,"I'll be drivng along, and my headset starts ringing for no reason.",negative,be drivng along headset start ring no reason
1299,Worst Thai ever.,negative,bad thai ever
1260,"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  ",positive,character be interest want find out long movie go on think people be surprise do do not make it
720,This is my new fav Vegas buffet spot.,positive,be new fav vega buffet spot
815,I don't think there are any redeeming qualities in this remake.  ,negative,do not think be any redeeming quality remake
2057,What this film lacks is a convincing script.  ,negative,film lack be convince script
1189,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",negative,no allergy warning menu waitress have absolutely no clue meal do do not contain peanut
2670,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,negative,hard judge whether side be good be gross out melted styrofoam do not want eat fear of get sick
1079,") some great music, and terrific scenery.  ",positive,great music terrific scenery
1891,Would recommend this item.,positive,would recommend item
1448,Waitress was sweet and funny.,positive,waitress be sweet funny
1941,I as well would've given godfathers zero stars if possible.,negative,well would have give godfather zero star possible
1977,But in terms of the writing it's very fresh and bold.  ,positive,term of writing be very fresh bold
1717,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",negative,place be overprice not consistent boba really be overprice
117,"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",negative,even woman finally show up be no sign of improvement expect thing happen time film be over might be far asleep
1173,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",positive,very clear quality sound do not have mess sound ipod since have sound button headset
2391,The case is great and works fine with the 680.,positive,case be great work fine six hundred eighty
412,Also its slim enough to fit into my alarm clock docking station without removing the case.,positive,also slim enough fit alarm clock dock station without remove case
2000,Lately they have been extremely nice and helpful on the phone.,positive,lately have be extremely nice helpful phone
1134,"I also didn't like the ""on"" button, it felt like it would crack with use.",negative,also do not like on button felt like would crack use
459,"Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.  ",positive,here wind lion see wonderful rendering of america s imperial age
362,It was delicious!!!,positive,be delicious
1720,Price is good too.,positive,price be good too
703,Everything about this movie is stupid.  ,negative,everything movie be stupid
670,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",negative,loudspeaker option be great bumper light be very appeal
2137,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",negative,ground right next table be large smear be step in and track everywhere pile of green bird poop
705,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",negative,bluetooth do not work phone lock up screen flash make call randomly pocket lock
2708,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",negative,hot dish be not hot cold dish be close room temp i watch staff prepare food bare hand no glove everything be deep fried oil
2233,The battery works great!,positive,battery work great
2436,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",negative,attempt artiness black white clever camera angle movie disappoint become even ridiculous act be poor plot line almost non existent
1209,"bad fit, way too big.",negative,bad fit way too big
1141,Excellent performance.  ,positive,excellent performance
2185,I found this product to be waaay too big.,negative,find product be waaay too big
2010,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",positive,seem completely secure hold belt keep iphone inside
2109,Not enough volume.,negative,not enough volume
754,This is a great product..... sure beats using your fingers!.,positive,be great product sure beat use finger
2718,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",positive,work great cat attack phone scratch protective strip instead of destroy screen
847,"As for the killer, don't expect anything original or even remotely frightening.  ",negative,killer do not expect anything original even remotely frighten
698,Love This Phone.,positive,love phone
934,"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",positive,use product motor control center be lot of high voltage hum equipment work great
2401,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,negative,keep catch cable seat have pull phone out turn off
372,Horrible phone.,negative,horrible phone
80,The script iswas there a script?  ,negative,script be be script
2257,"Excellent sound, battery life and inconspicuous to boot!.",positive,excellent sound battery life inconspicuous boot
1236,The story line is just awful!  ,negative,story line be awful
583,"The cable looks so thin and flimsy, it is scary.",negative,cable look thin flimsy be scary
1724,Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,positive,tom wilkinson break heart end everyone else s judge amount of fumble hanky hand go face among male female alike
1241,This fixes all the problems.,positive,fix problem
2454,This place should honestly be blown up.,negative,place honestly be blow up
1053,The picture resolution is far below what other comparably-priced phones are offering today.,negative,picture resolution be far comparably price phone be offer today
2437,Your staff spends more time talking to themselves than me.,negative,staff spend time talk me
608,"I had strawberry tea, which was good.",positive,have strawberry tea be good
529,Great Value.,positive,great value
1257,"The pizza tasted old, super chewy in not a good way.",negative,pizza taste old super chewy not good way
1542,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,negative,have never have bland food surprise consider article read focus much spice flavor
2495,The last 15 minutes of movie are also not bad as well.  ,positive,last fifteen minute of movie be also not bad well
2572,I checked everywhere and there is no feature for it which is really disappointing.,negative,check everywhere be no feature be really disappointing
261,Bad Reception.,negative,bad reception
2464,The volume switch rocketed out of the unit to a destination unknown.,negative,volume switch rocket out of unit destination unknown
1323,I was mortified.,negative,be mortify
811,One of my favorite purchases ever.,positive,one of favorite purchase ever
524,"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",positive,be light have plenty of battery capacity be very confortable wear somewhat extend period of time
424,Magical Help.,positive,magical help
1633,This is a good joint.,positive,be good joint
867,"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  ",positive,be very popular be cinema good house very good reaction plenty of laugh
303,"It didn't work, people can not hear me when I talk.",negative,do not work people can not hear talk
1713,"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",positive,emily watson s character be very strong have give quick glance understand everything
49,The story is also both funny and poignant at times.  ,positive,story be also funny poignant time
511,She was quite disappointed although some blame needs to be placed at her door.,negative,be quite disappointed although blame need be place door
74,And the red curry had so much bamboo shoots and wasn't very tasty to me.,negative,red curry have much bamboo shoot be not very tasty me
1137,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,negative,have also have problem phone read memory card always turn again
1828,"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  ",positive,be wonderful inspire watch hope get release video dvd
2150,You can't beat that.,positive,cannot beat that
1541,"The wontons were thin, not thick and chewy, almost melt in your mouth.",positive,wonton be thin not thick chewy almost melt mouth
1468,Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.  ,negative,almost of song cover girl be old fashioned not very tuneful
1628,"It's a sad movie, but very good.  ",positive,be sad movie very good
2321,Sauce was tasteless.,negative,sauce be tasteless
881,Buttons are too small.,negative,button be too small
493,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",negative,although very much like look sound of place actual experience be bit disappointing
995,"Not much dialogue, not much music, the whole film was shot as elaborately and aesthetically like a sculpture.  ",positive,not much dialogue not much music whole film be shoot elaborately aesthetically like sculpture
717,"After watching this film, I wanted to learn more about the works of this artist.  ",positive,watch film want learn work of artist
1238,The grilled chicken was so tender and yellow from the saffron seasoning.,positive,grill chicken be tender yellow saffron season
627,!I definitly recommend!!,positive,i definitly recommend
2660,Great product for the price!.,positive,great product price
979,"If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!  ",negative,act film be glad be go drift away earth far possible
149,"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",positive,feeling thought gabriel s discomfort dance all intangible leap life come within viewer s grasp huston s portrayal
441,The block was amazing.,positive,block be amaze
584,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,negative,sure do beat nachos movie would expect little bit come restaurant
85,im surprised this is a good quality car charger and there's not much reviews about it.,positive,be surprise be good quality car charger be not much review it
2079,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",positive,be like really sexy party mouth be outrageously flirt hot person party
1759,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,negative,use talk one one one two hour battery would be literally drain die
230,"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",positive,thing really worth watching be scenery house be beautiful
78,WAAAAAAyyyyyyyyyy over rated is all I am saying.,negative,waaaaaayyyyyyyyyy rat be be say
47,best bluetooth on the market.,positive,best bluetooth market
1990,"The casting is also horrible, cause all you see is a really really BAD Actors, period.  ",negative,casting be also horrible see be really really bad actor period
871,That company is a joke.,negative,company be joke
1160,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",positive,do not last forever be not overly expensive replace easy operate sound be much good others have try
827,Lasted one day and then blew up.,negative,lasted one day blow up
253,"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",negative,be hour half waste of time follow bunch of very pretty high schoolers whine cry life
113,I believe that this place is a great stop for those with a huge belly and hankering for sushi.,positive,believe place be great stop huge belly hanker sushi
1571,Yet Plantronincs continues to use the same flawed charger design.,negative,yet plantronincs continue use flaw charger design
2213,They have great dinners.,positive,have great dinner
83,"In the summer, you can dine in a charming outdoor patio - so very delightful.",positive,summer can dine charm outdoor patio very delightful
531,The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,positive,success of film depend casting of sydney greenstreet alexander yardley character
1711,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",negative,even bmw three series be fairly quiet have trouble hear person be say
1253,And the sound quality is great.,positive,sound quality be great
1469,Now you know why I gave it a 10+!  ,positive,know give ten
1951,"Hopefully, the director James Cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.  ",positive,hopefully director james cox can turn short feature length film cast win u whole new film
2696,The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  ,negative,attempt humor be pitiful story be awful dosen t bear think basically involve vulcan steal enterprise find god seriously do not care any of film oh not mention uhura do belly dance distract male guard
